year,country_name,party,vote_share
2018,Verenigd Koninkrijk,left_populist_votes,0
2018,Verenigd Koninkrijk,populist_votes,0
2019,Verenigd Koninkrijk,right_votes,0
2019,Verenigd Koninkrijk,right_populist_votes,2.01
2019,Verenigd Koninkrijk,left_votes,0
2019,Verenigd Koninkrijk,left_populist_votes,0
2019,Verenigd Koninkrijk,populist_votes,0
2020,Verenigd Koninkrijk,right_votes,0
2020,Verenigd Koninkrijk,right_populist_votes,2.01
2020,Verenigd Koninkrijk,left_votes,0
2020,Verenigd Koninkrijk,left_populist_votes,0
2020,Verenigd Koninkrijk,populist_votes,0
2021,Verenigd Koninkrijk,right_votes,0
2021,Verenigd Koninkrijk,right_populist_votes,2.01
2021,Verenigd Koninkrijk,left_votes,0
2021,Verenigd Koninkrijk,left_populist_votes,0
2021,Verenigd Koninkrijk,populist_votes,0
2022,Verenigd Koninkrijk,right_votes,0
2022,Verenigd Koninkrijk,right_populist_votes,2.01
2022,Verenigd Koninkrijk,left_votes,0
2022,Verenigd Koninkrijk,left_populist_votes,0
2022,Verenigd Koninkrijk,populist_votes,0
2023,Verenigd Koninkrijk,right_votes,0
2023,Verenigd Koninkrijk,right_populist_votes,2.01
2023,Verenigd Koninkrijk,left_votes,0
2023,Verenigd Koninkrijk,left_populist_votes,0
2023,Verenigd Koninkrijk,populist_votes,0
2024,Verenigd Koninkrijk,right_votes,0
2024,Verenigd Koninkrijk,right_populist_votes,14.3
2024,Verenigd Koninkrijk,left_votes,0
2024,Verenigd Koninkrijk,left_populist_votes,0
2024,Verenigd Koninkrijk,populist_votes,0
2025,Verenigd Koninkrijk,right_votes,0
2025,Verenigd Koninkrijk,right_populist_votes,14.3
2025,Verenigd Koninkrijk,left_votes,0
2025,Verenigd Koninkrijk,left_populist_votes,0
2025,Verenigd Koninkrijk,populist_votes,0
2026,Verenigd Koninkrijk,right_votes,0
2026,Verenigd Koninkrijk,right_populist_votes,14.3
2026,Verenigd Koninkrijk,left_votes,0
2026,Verenigd Koninkrijk,left_populist_votes,0
2026,Verenigd Koninkrijk,populist_votes,0
