year,country_name,right_votes,right_populist_votes,left_votes,left_populist_votes,populist_votes,other_votes,c2_left_votes,c2_right_votes,c2_populist_votes,country_code,pop,total_population,weight
2024,Luxembourg,0,0,3.9,0,9.3,0,NA,NA,9.3,LUX,677012,534418555,0.001266819786973901
2025,Luxembourg,0,0,3.9,0,9.3,0,NA,NA,9.3,LUX,677012,534418555,0.001266819786973901
2026,Luxembourg,0,0,3.9,0,9.3,0,NA,NA,9.3,LUX,677012,534418555,0.001266819786973901
1993,Malta,0,0,0,0,0,0,NA,NA,0,MLT,371308,493577339,7.522792694500102e-4
1994,Malta,0,0,0,0,0,0,NA,NA,0,MLT,374797,494866526,7.573698771454184e-4
1995,Malta,0,0,0,0,0,0,NA,NA,0,MLT,377419,495896419,7.61084342494516e-4
1996,Malta,0,0,0,0,0,0,0,0,0,MLT,379905,496794186,7.647130556395038e-4
1997,Malta,0,0,0,0,0,0,NA,NA,0,MLT,382791,497629796,7.69228456730111e-4
1998,Malta,0,0,0,0,0,0,0,0,0,MLT,385287,498422758,7.730124554224308e-4
1999,Malta,0,0,0,0,0,0,NA,NA,0,MLT,387578,499391700,7.761002035075874e-4
2000,Malta,0,0,0,0,0,0,NA,NA,0,MLT,390087,500188098,7.798806120332756e-4
2001,Malta,0,0,0,0,0,0,NA,NA,0,MLT,393028,501057553,7.843969173736814e-4
2002,Malta,0,0,0,0,0,0,NA,NA,0,MLT,395969,502405026,7.881469720806496e-4
2003,Malta,0,0,0,0,0,0,0,0,0,MLT,398582,504353870,7.90282426106892e-4
2004,Malta,0,0,0,0,0,0,NA,NA,0,MLT,401268,506454762,7.923076849260626e-4
2005,Malta,0,0,0,0,0,0,NA,NA,0,MLT,403834,508547485,7.940930039207646e-4
2006,Malta,0,0,0,0,0,0,NA,NA,0,MLT,405308,510559016,7.938514203028e-4
2007,Malta,0,0,0,0,0,0,NA,NA,0,MLT,406724,512690302,7.933132310351367e-4
2008,Malta,0,0,0,0,0,0,0,0,0,MLT,409379,514811015,7.952024880431123e-4
2009,Malta,0,0,0,0,0,0,NA,NA,0,MLT,412477,516555899,7.98513773240251e-4
2010,Malta,0,0,0,0,0,0,NA,NA,0,MLT,414508,517886877,8.003832852478322e-4
2011,Malta,0,0,0,0,0,0,NA,NA,0,MLT,416268,517857388,8.038274815536666e-4
2012,Malta,0,0,0,0,0,0,NA,NA,0,MLT,420028,519116989,8.091201191645069e-4
2013,Malta,0,0,0,0,0,0,0,0,0,MLT,424810,520057474,8.168520235515354e-4
2014,Malta,0,0,0,0,0,0,NA,NA,0,MLT,433481,521194086,8.317074418991009e-4
2015,Malta,0,0,0,0,0,0,NA,NA,0,MLT,444220,522683036,8.498840968697519e-4
2016,Malta,0,0,0,0,0,0,NA,NA,0,MLT,454505,524226948,8.670004503469364e-4
2017,Malta,0,0,0,0,0,0,0,0,0,MLT,467106,525359268,8.891172735530765e-4
2018,Malta,0,0,0,0,0,0,NA,NA,0,MLT,483903,526797856,9.185743534992671e-4
2019,Malta,0,0,0,0,0,0,NA,NA,0,MLT,503912,527825192,9.546948642042079e-4
2020,Malta,0,0,0,0,0,0,NA,NA,0,MLT,515490,527999064,9.763085489106094e-4
2021,Malta,0,0,0,0,0,0,NA,NA,0,MLT,518150,527696744,9.819086547177937e-4
2022,Malta,0,0,0,0,0,0,0,0,0,MLT,531113,529422891,0.0010031923610193878
2023,Malta,0,0,0,0,0,0,NA,NA,0,MLT,552747,532183631,0.0010386396119725825
2024,Malta,0,0,0,0,0,0,NA,NA,0,MLT,568847,534418555,0.0010644222485875327
2025,Malta,0,0,0,0,0,0,NA,NA,0,MLT,568847,534418555,0.0010644222485875327
2026,Malta,0,0,0,0,0,0,NA,NA,0,MLT,568847,534418555,0.0010644222485875327
1993,Netherlands,0,0.92,0,0.44,0,0,NA,NA,1.36,NLD,15290368,493577339,0.03097866695213088
1994,Netherlands,0,2.46,0,1.32,0,0,1.32,2.46,3.7800000000000002,NLD,15382838,494866526,0.031084822253667647
1995,Netherlands,0,2.46,0,1.32,0,0,NA,NA,3.7800000000000002,NLD,15459006,495896419,0.031173860926791648
1996,Netherlands,0,2.46,0,1.32,0,0,NA,NA,3.7800000000000002,NLD,15530498,496794186,0.03126143267707243
1997,Netherlands,0,2.46,0,1.32,0,0,NA,NA,3.7800000000000002,NLD,15610650,497629796,0.03137000663039076
1998,Netherlands,0,0.61,0,3.53,0,0,3.53,0.61,4.14,NLD,15707209,498422758,0.031513827865781364
1999,Netherlands,0,0.61,0,3.53,0,0,NA,NA,4.14,NLD,15812088,499391700,0.03166269683697186
2000,Netherlands,0,0.61,0,3.53,0,0,NA,NA,4.14,NLD,15925513,500188098,0.031839048277394234
2001,Netherlands,0,0.61,0,3.53,0,0,NA,NA,4.14,NLD,16046180,501057553,0.03202462452452044
2002,Netherlands,0,0,0,5.9,18.61,0,5.9,0,24.509999999999998,NLD,16148929,502405026,0.03214324730899487
2003,Netherlands,0,0,0,0,5.7,6.32,0,0,5.7,NLD,16225302,504353870,0.032170471895060504
2004,Netherlands,0,0,0,0,5.7,6.32,NA,NA,5.7,NLD,16281779,506454762,0.032148535706729126
2005,Netherlands,0,0,0,0,5.7,6.32,NA,NA,5.7,NLD,16319868,508547485,0.03209113894251193
2006,Netherlands,0,5.89,0,0,0,16.58,0,5.89,5.89,NLD,16346101,510559016,0.03201608528640693
2007,Netherlands,0,5.89,0,0,0,16.58,NA,NA,5.89,NLD,16381696,512690302,0.03195242027417948
2008,Netherlands,0,5.89,0,0,0,16.58,NA,NA,5.89,NLD,16445593,514811015,0.03194491283369296
2009,Netherlands,0,5.89,0,0,0,16.58,NA,NA,5.89,NLD,16530388,516555899,0.032001160052573516
2010,Netherlands,0,15.45,0,0,0,9.82,0,15.45,15.45,NLD,16615394,517886877,0.03208305662473853
2011,Netherlands,0,15.45,0,0,0,9.82,NA,NA,15.45,NLD,16693074,517857388,0.03223488625791315
2012,Netherlands,0,10.08,0,0,0,9.65,0,10.08,10.08,NLD,16754962,519116989,0.032275888393242316
2013,Netherlands,0,10.08,0,0,0,9.65,NA,NA,10.08,NLD,16804432,520057474,0.03231264396750118
2014,Netherlands,0,10.08,0,0,0,9.65,NA,NA,10.08,NLD,16865008,521194086,0.03235840247043786
2015,Netherlands,0,10.08,0,0,0,9.65,NA,NA,10.08,NLD,16939923,522683036,0.032409551933497226
2016,Netherlands,0,10.08,0,0,0,9.65,NA,NA,10.08,NLD,17030314,524226948,0.03248652909769911
2017,Netherlands,0,14.9,0,0,0,9.1,0,14.9,14.9,NLD,17131296,525359268,0.03260872519717307
2018,Netherlands,0,14.9,0,0,0,9.1,NA,NA,14.9,NLD,17231624,526797856,0.03271012553247749
2019,Netherlands,0,14.9,0,0,0,9.1,NA,NA,14.9,NLD,17344874,527825192,0.03286101963848668
2020,Netherlands,0,14.9,0,0,0,9.1,NA,NA,14.9,NLD,17441500,527999064,0.033033202498252916
2021,Netherlands,0,18.18,0,0,1,5.98,0,18.18,19.18,NLD,17533044,527696744,0.033225605803624214
2022,Netherlands,0,18.18,0,0,1,5.98,NA,NA,19.18,NLD,17700982,529422891,0.03343448555192904
2023,Netherlands,0,26.4,0,0,4.7,3.2,0,26.4,31.099999999999998,NLD,17877117,532183631,0.033592008394561085
2024,Netherlands,0,26.4,0,0,4.7,3.2,NA,NA,31.099999999999998,NLD,17993485,534418555,0.03366927445099656
2025,Netherlands,0,27.1,0,0,2.7,1.9,0,27.1,29.8,NLD,17993485,534418555,0.03366927445099656
2026,Netherlands,0,27.1,0,0,2.7,1.9,NA,NA,29.8,NLD,17993485,534418555,0.03366927445099656
1993,Norway,0,0,1.1,0,6.3,7.9,1.1,0,6.3,NOR,4311991,493577339,0.008736201318999371
1994,Norway,0,0,1.1,0,6.3,7.9,NA,NA,6.3,NOR,4336613,494866526,0.008763197290899406
1995,Norway,0,0,1.1,0,6.3,7.9,NA,NA,6.3,NOR,4359184,495896419,0.008790513165613321
1996,Norway,0,0,1.1,0,6.3,7.9,NA,NA,6.3,NOR,4381336,496794186,0.008819217542131219
1997,Norway,0,0,1.7,0,15.700000000000001,6,1.7,0,15.700000000000001,NOR,4405157,497629796,0.00885227740663664
1998,Norway,0,0,1.7,0,15.700000000000001,6,NA,NA,15.700000000000001,NOR,4431464,498422758,0.008890974436604679
1999,Norway,0,0,1.7,0,15.700000000000001,6,NA,NA,15.700000000000001,NOR,4461913,499391700,0.0089346959510941
2000,Norway,0,0,1.7,0,15.700000000000001,6,NA,NA,15.700000000000001,NOR,4490967,500188098,0.008978556303033024
2001,Norway,0,0,1.2,0,16.4,12.5,1.2,0,16.4,NOR,4513751,501057553,0.009008448177209695
2002,Norway,0,0,1.2,0,16.4,12.5,NA,NA,16.4,NOR,4538159,502405026,0.009032869428340471
2003,Norway,0,0,1.2,0,16.4,12.5,NA,NA,16.4,NOR,4564855,504353870,0.009050897140930037
2004,Norway,0,0,1.2,0,16.4,12.5,NA,NA,16.4,NOR,4591910,506454762,0.009066772285576811
2005,Norway,0,0,1.2,0,22.1,8.8,1.2,0,22.1,NOR,4623291,508547485,0.009091168743072243
2006,Norway,0,0,1.2,0,22.1,8.8,NA,NA,22.1,NOR,4660677,510559016,0.009128576430819508
2007,Norway,0,0,1.2,0,22.1,8.8,NA,NA,22.1,NOR,4709153,512690302,0.00918518056930205
2008,Norway,0,0,1.2,0,22.1,8.8,NA,NA,22.1,NOR,4768212,514811015,0.009262062895060628
2009,Norway,0,0,1.4,0,22.9,6.2,1.4,0,22.9,NOR,4828726,516555899,0.009347925382999063
2010,Norway,0,0,1.4,0,22.9,6.2,NA,NA,22.9,NOR,4889252,517886877,0.009440772139897262
2011,Norway,0,0,1.4,0,22.9,6.2,NA,NA,22.9,NOR,4953088,517857388,0.009564579196464027
2012,Norway,0,0,1.4,0,22.9,6.2,NA,NA,22.9,NOR,5018573,519116989,0.009667518317340217
2013,Norway,0,0,1.1,0,16.3,4.1,1.1,0,16.3,NOR,5079623,520057474,0.009767426205665876
2014,Norway,0,0,1.1,0,16.3,4.1,NA,NA,16.3,NOR,5137232,521194086,0.009856658273747182
2015,Norway,0,0,1.1,0,16.3,4.1,NA,NA,16.3,NOR,5188607,522683036,0.009926870861751098
2016,Norway,0,0,1.1,0,16.3,4.1,NA,NA,16.3,NOR,5234519,524226948,0.009985215410940683
2017,Norway,0,0,2.4,0,15.2,6,2.4,0,15.2,NOR,5276968,525359268,0.01004449397093343
2018,Norway,0,0,2.4,0,15.2,6,NA,NA,15.2,NOR,5311916,526797856,0.01008340474339364
2019,Norway,0,0,2.4,0,15.2,6,NA,NA,15.2,NOR,5347896,527825192,0.010131945350573567
2020,Norway,0,0,2.4,0,15.2,6,NA,NA,15.2,NOR,5379475,527999064,0.010188417682498013
2021,Norway,0,0,4.7,0,11.6,7.6,4.7,0,11.6,NOR,5408320,527696744,0.010248916752838634
2022,Norway,0,0,4.7,0,11.6,7.6,NA,NA,11.6,NOR,5457127,529422891,0.01030768992570818
2023,Norway,0,0,4.7,0,11.6,7.6,NA,NA,11.6,NOR,5519601,532183631,0.010371609870127705
2024,Norway,0,0,4.7,0,11.6,7.6,NA,NA,11.6,NOR,5572279,534418555,0.010426806756363465
2025,Norway,0,0,5.3,0,23.8,11.299999999999999,5.3,0,23.8,NOR,5572279,534418555,0.010426806756363465
2026,Norway,0,0,5.3,0,23.8,11.299999999999999,NA,NA,23.8,NOR,5572279,534418555,0.010426806756363465
1993,Poland,3.2,9.07,0,0,2.78,0,0,12.27,11.85,POL,38461408,493577339,0.0779237719420502
1994,Poland,3.2,9.07,0,0,2.78,0,NA,NA,11.85,POL,38542652,494866526,0.07788494467698144
1995,Poland,3.2,9.07,0,0,2.78,0,NA,NA,11.85,POL,38594998,495896419,0.07782874915255236
1996,Poland,3.2,9.07,0,0,2.78,0,NA,NA,11.85,POL,38624370,496794186,0.07774722629302268
1997,Poland,2.033,0,0,0,0,5.56,0,2.033,0,POL,38649660,497629796,0.07766749561756547
1998,Poland,2.033,0,0,0,0,5.56,NA,NA,0,POL,38663481,498422758,0.07757166056209656
1999,Poland,2.033,0,0,0,0,5.56,NA,NA,0,POL,38660271,499391700,0.07741472475413588
2000,Poland,2.033,0,0,0,0,5.56,NA,NA,0,POL,38258629,500188098,0.07648848333852198
2001,Poland,0,7.9,0,0,10.2,9.5,0,7.9,18.1,POL,38248076,501057553,0.07633469602642633
2002,Poland,0,7.9,0,0,10.2,9.5,NA,NA,18.1,POL,38230364,502405026,0.07609470849521319
2003,Poland,0,7.9,0,0,10.2,9.5,NA,NA,18.1,POL,38204570,504353870,0.07574953276357332
2004,Poland,0,7.9,0,0,10.2,9.5,NA,NA,18.1,POL,38182222,506454762,0.07539117975555731
2005,Poland,1.57,8,0,0,11.4,28.05,0,9.57,19.4,POL,38165445,508547485,0.07504794758743129
2006,Poland,1.57,8,0,0,11.4,28.05,NA,NA,19.4,POL,38141267,510559016,0.07470491325139972
2007,Poland,0,1.3,0,0,1.53,32.11,0,1.3,2.83,POL,38120560,512690302,0.07435397129864181
2008,Poland,0,1.3,0,0,1.53,32.11,NA,NA,2.83,POL,38125759,514811015,0.07405777632788219
2009,Poland,0,1.3,0,0,1.53,32.11,NA,NA,2.83,POL,38151603,516555899,0.07385764652742839
2010,Poland,0,1.3,0,0,1.53,32.11,NA,NA,2.83,POL,38042794,517886877,0.07345772926391414
2011,Poland,1.06,0,0,0,0,29.89,0,1.06,0,POL,38063255,517857388,0.07350142313698149
2012,Poland,1.06,0,0,0,0,29.89,NA,NA,0,POL,38063164,519116989,0.07332290178620988
2013,Poland,1.06,0,0,0,0,29.89,NA,NA,0,POL,38040196,520057474,0.0731461384593042
2014,Poland,1.06,0,0,0,0,29.89,NA,NA,0,POL,38011735,521194086,0.07293201519558301
2015,Poland,4.76,37.58,3.62,0,8.81,0,3.62,42.339999999999996,46.39,POL,37986412,522683036,0.07267580805893994
2016,Poland,4.76,37.58,3.62,0,8.81,0,NA,NA,46.39,POL,37970087,524226948,0.0724306278890493
2017,Poland,4.76,37.58,3.62,0,8.81,0,NA,NA,46.39,POL,37974826,525359268,0.07228353683483509
2018,Poland,4.76,37.58,3.62,0,8.81,0,NA,NA,46.39,POL,37974750,526797856,0.07208599952996012
2019,Poland,6.81,43.59,0,0,0,0,0,50.400000000000006,43.59,POL,37965475,527825192,0.07192812236972577
2020,Poland,6.81,43.59,0,0,0,0,NA,NA,43.59,POL,37515748,527999064,0.07105267898732487
2021,Poland,6.81,43.59,0,0,0,0,NA,NA,43.59,POL,36981559,527696744,0.07008108240288859
2022,Poland,6.81,43.59,0,0,0,0,NA,NA,43.59,POL,36821749,529422891,0.06955073085421234
2023,Poland,7.200000000000001,35.4,8.6,0,0,0,8.6,42.6,35.4,POL,36687353,532183631,0.06893739465654478
2024,Poland,7.200000000000001,35.4,8.6,0,0,0,NA,NA,35.4,POL,36559233,534418555,0.06840936314421193
2025,Poland,7.200000000000001,35.4,8.6,0,0,0,NA,NA,35.4,POL,36559233,534418555,0.06840936314421193
2026,Poland,7.200000000000001,35.4,8.6,0,0,0,NA,NA,35.4,POL,36559233,534418555,0.06840936314421193
1993,Portugal,0,0,0,0,0,0,NA,NA,0,PRT,9964675,493577339,0.020188680096595763
1994,Portugal,0,0,0,0,0,0,NA,NA,0,PRT,9991525,494866526,0.020190343203775316
1995,Portugal,0,0,0,0,0,0,0,0,0,PRT,10026176,495896419,0.02021828675475876
1996,Portugal,0,0,0,0,0,0,NA,NA,0,PRT,10063945,496794186,0.020257775319455933
1997,Portugal,0,0,0,0,0,0,NA,NA,0,PRT,10108977,497629796,0.020314251841945574
1998,Portugal,0,0,0,0,0,0,NA,NA,0,PRT,10160196,498422758,0.02038469519483699
1999,Portugal,0,0,0,0,0,2.49,0,0,0,PRT,10217828,499391700,0.02046054830306551
2000,Portugal,0,0,0,0,0,2.49,NA,NA,0,PRT,10289898,500188098,0.020572056874492043
2001,Portugal,0,0,0,0,0,2.49,NA,NA,0,PRT,10362722,501057553,0.020681700012213967
2002,Portugal,0,0,0,0,0,2.79,0,0,0,PRT,10419631,502405026,0.02073950390774952
2003,Portugal,0,0,0,0,0,2.79,NA,NA,0,PRT,10458821,504353870,0.02073706899483095
2004,Portugal,0,0,0,0,0,2.79,NA,NA,0,PRT,10483861,506454762,0.020700488546299817
2005,Portugal,0,0,0,0,0,6.54,0,0,0,PRT,10503330,508547485,0.02065358754060105
2006,Portugal,0,0,0,0,0,6.54,NA,NA,0,PRT,10522288,510559016,0.020609347147441226
2007,Portugal,0,0,0,0,0,6.54,NA,NA,0,PRT,10542964,512690302,0.020564001228172247
2008,Portugal,0,0,0,0,0,6.54,NA,NA,0,PRT,10558177,514811015,0.02050884051111455
2009,Portugal,0,0,0,0,0,10.12,0,0,0,PRT,10568247,516555899,0.020459057810508132
2010,Portugal,0,0,0,0,0,10.12,NA,NA,0,PRT,10573100,517886877,0.020415848459508272
2011,Portugal,0,0,0,0,0,5.39,0,0,0,PRT,10557560,517857388,0.020387002763007797
2012,Portugal,0,0,0,0,0,5.39,NA,NA,0,PRT,10514844,519116989,0.020255249245945985
2013,Portugal,0,0,0,0,0,5.39,NA,NA,0,PRT,10457295,520057474,0.020107960221335076
2014,Portugal,0,0,0,0,0,5.39,NA,NA,0,PRT,10401062,521194086,0.01995621646405251
2015,Portugal,0,0,0,0,0,10.58,0,0,0,PRT,10358076,522683036,0.019817126798811965
2016,Portugal,0,0,0,0,0,10.58,NA,NA,0,PRT,10325452,524226948,0.019696530366081065
2017,Portugal,0,0,0,0,0,10.58,NA,NA,0,PRT,10300300,525359268,0.019606202131376503
2018,Portugal,0,0,0,0,0,10.58,NA,NA,0,PRT,10283822,526797856,0.019521381651181207
2019,Portugal,0,1.35,0,0,0,10.01,0,1.35,1.35,PRT,10286263,527825192,0.01948801072003399
2020,Portugal,0,1.35,0,0,0,10.01,NA,NA,1.35,PRT,10297081,527999064,0.019502081920357343
2021,Portugal,0,1.35,0,0,0,10.01,NA,NA,1.35,PRT,10361831,527696744,0.01963595780685734
2022,Portugal,0,7.38,4.41,0,0,4.52,4.41,7.38,7.38,PRT,10434332,529422891,0.01970887956939512
2023,Portugal,0,7.38,4.41,0,0,4.52,NA,NA,7.38,PRT,10578174,532183631,0.019876924775237968
2024,Portugal,0,18.1,3.2,0,0,4.4,3.2,18.1,18.1,PRT,10694681,534418555,0.02001180703765048
2025,Portugal,0,22.6,3,0,0,2,3,22.6,22.6,PRT,10694681,534418555,0.02001180703765048
2026,Portugal,0,22.6,3,0,0,2,NA,NA,22.6,PRT,10694681,534418555,0.02001180703765048
1993,Romania,0,11.6,3.04,0,27.7,0,NA,NA,39.3,ROU,22763280,493577339,0.04611897305925546
1994,Romania,0,11.6,3.04,0,27.7,0,NA,NA,39.3,ROU,22730211,494866526,0.04593200349138184
1995,Romania,0,11.6,3.04,0,27.7,0,NA,NA,39.3,ROU,22684270,495896419,0.04574396815718889
1996,Romania,0,8.82,2.15,0,21.77,0,2.15,8.82,30.59,ROU,22619004,496794186,0.04552992896740543
1997,Romania,0,8.82,2.15,0,21.77,0,NA,NA,30.59,ROU,22553978,497629796,0.045322804585439254
1998,Romania,0,8.82,2.15,0,21.77,0,NA,NA,30.59,ROU,22507344,498422758,0.0451571354612985
1999,Romania,0,8.82,2.15,0,21.77,0,NA,NA,30.59,ROU,22472040,499391700,0.04499882557118991
2000,Romania,0,20.86,0,0,0,36.61,0,20.86,20.86,ROU,22442971,500188098,0.044869062438187
2001,Romania,0,20.86,0,0,0,36.61,NA,NA,20.86,ROU,22131970,501057553,0.04417051467937856
2002,Romania,0,20.86,0,0,0,36.61,NA,NA,20.86,ROU,21730496,502405026,0.04325294309456212
2003,Romania,0,20.86,0,0,0,36.61,NA,NA,20.86,ROU,21574326,504353870,0.04277616824869412
2004,Romania,0,13,0,0,0,36.6,0,13,13,ROU,21451748,506454762,0.042356691277393894
2005,Romania,0,13,0,0,0,36.6,NA,NA,13,ROU,21319685,508547485,0.04192270265578051
2006,Romania,0,13,0,0,0,36.6,NA,NA,13,ROU,21193760,510559016,0.041510891661543
2007,Romania,0,13,0,0,0,36.6,NA,NA,13,ROU,20882982,512690302,0.04073215724685192
2008,Romania,0,3.15,0,0,0,33.09,0,3.15,3.15,ROU,20537875,514811015,0.039894008483870536
2009,Romania,0,3.15,0,0,0,33.09,NA,NA,3.15,ROU,20367487,516555899,0.03942939581065553
2010,Romania,0,3.15,0,0,0,33.09,NA,NA,3.15,ROU,20246871,517886877,0.039095161316474135
2011,Romania,0,3.15,0,0,0,33.09,NA,NA,3.15,ROU,20147528,517857388,0.03890555289326103
2012,Romania,0,1.25,0,0,13.99,58.63,0,1.25,15.24,ROU,20058035,519116989,0.0386387566290958
2013,Romania,0,1.25,0,0,13.99,58.63,NA,NA,15.24,ROU,19983693,520057474,0.03842593174615158
2014,Romania,0,1.25,0,0,13.99,58.63,NA,NA,15.24,ROU,19908979,521194086,0.038198781480417644
2015,Romania,0,1.25,0,0,13.99,58.63,NA,NA,15.24,ROU,19815616,522683036,0.03791134327152718
2016,Romania,2.79,1.04,0,0,5.35,45.48,0,3.83,6.39,ROU,19702267,524226948,0.03758346852478099
2017,Romania,2.79,1.04,0,0,5.35,45.48,NA,NA,6.39,ROU,19588715,525359268,0.037286322319148656
2018,Romania,2.79,1.04,0,0,5.35,45.48,NA,NA,6.39,ROU,19473970,526797856,0.036966684237985964
2019,Romania,2.79,1.04,0,0,5.35,45.48,NA,NA,6.39,ROU,19371648,527825192,0.0367008780437293
2020,Romania,0,9.08,0,0,4.82,28.9,0,9.08,13.9,ROU,19265250,527999064,0.03648728059108832
2021,Romania,0,9.08,0,0,4.82,28.9,NA,NA,13.9,ROU,19122059,527696744,0.03623683340369445
2022,Romania,0,9.08,0,0,4.82,28.9,NA,NA,13.9,ROU,19048502,529422891,0.03597974761540864
2023,Romania,0,9.08,0,0,4.82,28.9,NA,NA,13.9,ROU,19061062,532183631,0.0358167010213811
2024,Romania,0,31.900000000000002,0,0,0,22,0,31.900000000000002,31.900000000000002,ROU,19051804,534418555,0.035649593042292475
2025,Romania,0,31.900000000000002,0,0,0,22,NA,NA,31.900000000000002,ROU,19051804,534418555,0.035649593042292475
2026,Romania,0,31.900000000000002,0,0,0,22,NA,NA,31.900000000000002,ROU,19051804,534418555,0.035649593042292475
1993,Slovakia,0,7.93,0,0,37.26,0,NA,NA,45.19,SVK,5325305,493577339,0.01078920075785732
1994,Slovakia,0,5.4,2.72,7.35,34.97,0,10.07,5.4,47.72,SVK,5346331,494866526,0.010803581812684579
1995,Slovakia,0,5.4,2.72,7.35,34.97,0,NA,NA,47.72,SVK,5361999,495896419,0.010812739908089557
1996,Slovakia,0,5.4,2.72,7.35,34.97,0,NA,NA,47.72,SVK,5373361,496794186,0.010816070621245153
1997,Slovakia,0,5.4,2.72,7.35,34.97,0,NA,NA,47.72,SVK,5383291,497629796,0.010817863084709662
1998,Slovakia,0,9.07,2.79,1.3,35.01,0,4.09,9.07,45.379999999999995,SVK,5390516,498422758,0.010815148211992358
1999,Slovakia,0,9.07,2.79,1.3,35.01,0,NA,NA,45.379999999999995,SVK,5396020,499391700,0.01080518558878732
2000,Slovakia,0,9.07,2.79,1.3,35.01,0,NA,NA,45.379999999999995,SVK,5388720,500188098,0.01077338709486846
2001,Slovakia,0,9.07,2.79,1.3,35.01,0,NA,NA,45.379999999999995,SVK,5378867,501057553,0.010735028277280555
2002,Slovakia,0,6.97,6.32,0,40.97,0,6.32,6.97,47.94,SVK,5376912,502405026,0.010702345163242854
2003,Slovakia,0,6.97,6.32,0,40.97,0,NA,NA,47.94,SVK,5373374,504353870,0.010653975947483064
2004,Slovakia,0,6.97,6.32,0,40.97,0,NA,NA,47.94,SVK,5372280,506454762,0.010607620666423904
2005,Slovakia,0,6.97,6.32,0,40.97,0,NA,NA,47.94,SVK,5372807,508547485,0.010565005547122114
2006,Slovakia,0,11.73,3.88,0,39.35,0,3.88,11.73,51.08,SVK,5373054,510559016,0.010523864688739528
2007,Slovakia,0,11.73,3.88,0,39.35,0,NA,NA,51.08,SVK,5374622,512690302,0.010483174694418151
2008,Slovakia,0,11.73,3.88,0,39.35,0,NA,NA,51.08,SVK,5379233,514811015,0.01044894697911621
2009,Slovakia,0,11.73,3.88,0,39.35,0,NA,NA,51.08,SVK,5386406,516555899,0.010427537485154148
2010,Slovakia,1.33,5.07,0,0,39.11,0,0,6.4,44.18,SVK,5391428,517886877,0.010410435636506774
2011,Slovakia,1.33,5.07,0,0,39.11,0,NA,NA,44.18,SVK,5398384,517857388,0.010424460720448387
2012,Slovakia,1.58,4.55,0,0,54.18,0,0,6.13,58.73,SVK,5407579,519116989,0.01041687926726667
2013,Slovakia,1.58,4.55,0,0,54.18,0,NA,NA,58.73,SVK,5413393,520057474,0.01040922065471556
2014,Slovakia,1.58,4.55,0,0,54.18,0,NA,NA,58.73,SVK,5418649,521194086,0.010396604922335975
2015,Slovakia,1.58,4.55,0,0,54.18,0,NA,NA,58.73,SVK,5423801,522683036,0.010376845289465258
2016,Slovakia,8.04,15.27,0,0,39.31,0,0,23.31,54.58,SVK,5430798,524226948,0.01035963149303801
2017,Slovakia,8.04,15.27,0,0,39.31,0,NA,NA,54.58,SVK,5439232,525359268,0.010353356895571127
2018,Slovakia,8.04,15.27,0,0,39.31,0,NA,NA,54.58,SVK,5446771,526797856,0.010339394775365222
2019,Slovakia,8.04,15.27,0,0,39.31,0,NA,NA,54.58,SVK,5454147,527825192,0.010333244950536578
2020,Slovakia,7.97,14.33,0,0,43.31,0,0,22.3,57.64,SVK,5458827,527999064,0.010338705827705786
2021,Slovakia,7.97,14.33,0,0,43.31,0,NA,NA,57.64,SVK,5447247,527696744,0.010322684500020338
2022,Slovakia,7.97,14.33,0,0,43.31,0,NA,NA,57.64,SVK,5431752,529422891,0.010259760377455988
2023,Slovakia,5.59,7.83,0.33,0,31.830000000000002,0,0.33,13.42,39.660000000000004,SVK,5426740,532183631,0.010197119347325435
2024,Slovakia,5.59,7.83,0.33,0,31.830000000000002,0,NA,NA,39.660000000000004,SVK,5422069,534418555,0.01014573492868338
2025,Slovakia,5.59,7.83,0.33,0,31.830000000000002,0,NA,NA,39.660000000000004,SVK,5422069,534418555,0.01014573492868338
2026,Slovakia,5.59,7.83,0.33,0,31.830000000000002,0,NA,NA,39.660000000000004,SVK,5422069,534418555,0.01014573492868338
1993,Slovenia,0,24.53,2.75,13.58,0,3.34,NA,NA,38.11,SVN,1991746,493577339,0.0040353270756622
1994,Slovenia,0,24.53,2.75,13.58,0,3.34,NA,NA,38.11,SVN,1989443,494866526,0.004020160781697326
1995,Slovenia,0,24.53,2.75,13.58,0,3.34,NA,NA,38.11,SVN,1989872,495896419,0.004012676687628994
1996,Slovenia,0,12.84,0,9.03,0,16.13,9.03,12.84,21.869999999999997,SVN,1988628,496794186,0.0040029212419164665
1997,Slovenia,0,12.84,0,9.03,0,16.13,NA,NA,21.869999999999997,SVN,1985956,497629796,0.003990830163232428
1998,Slovenia,0,12.84,0,9.03,0,16.13,NA,NA,21.869999999999997,SVN,1981629,498422758,0.003975799596213462
1999,Slovenia,0,12.84,0,9.03,0,16.13,NA,NA,21.869999999999997,SVN,1983045,499391700,0.003970921022515993
2000,Slovenia,0,13.05,0,12.08,15.81,0,12.08,13.05,40.940000000000005,SVN,1988925,500188098,0.003976354111488675
2001,Slovenia,0,13.05,0,12.08,15.81,0,NA,NA,40.940000000000005,SVN,1992060,501057553,0.003975710949915568
2002,Slovenia,0,13.05,0,12.08,15.81,0,NA,NA,40.940000000000005,SVN,1994530,502405026,0.003969964265445067
