Country,Party Name,Name En.,Abbr.,Populist,Far-Right,Far-Left,Eurosceptic,In Parliament
Estonia,Eesti Kodanik,Estonian Citizens,EKo,●,●,,●,
Estonia,Eesti Rahvusliku Sõltumatuse Partei,Estonian National Independence Party,ERSP,,●,,,
Estonia,Erakond Res Publica,Res Publica Party,ERP,●,,,,
Finland,Demokraattinen Liitto | Vasemmistoliitto,Left Alliance,VAS,,,◐,◐,●
Finland,Liike Nyt,Movement Now,Liik,●,,,●,●
Finland,Suomen Maaseudun Puolue | Perussuomalaiset,Finns Party,PS,●,● (2017-)<br>◐ (-2017),,●,●
France,Debout la république | Debout la France,Republic Arise | France Arise,DLR / DLF,●,◐,,●,●
France,Front National / Rassemblement National,National Front / Rally,FN / RN,●,●,,●,●
France,La France Insoumise,Unsubmissive France,FI,●,,●,●,●
France,Les Républicains,The Republicans,LR,,◐,,,●
France,Parti Communiste Français,French Communist Party,PCF,,,●,●,●
France,Union des droites pour la République,Union of the Right for the Republic,UDR,●,◐,,,●
France,Lutte ouvrière,Workers' Struggle,LO,,,●,●,
France,Mouvement pour la France,Movement for France,MPF,,◐,,●,
France,Rassemblement pour la France,Rally for France,RPF,,◐,,●,
France,Reconquete,Reconquest,Reconquete,●,●,,●,
Germany,Alternative für Deutschland,Alternative for Germany,AfD,●,● (2015-),,●,●
Germany,PDS / Die Linke,The Left,Linke,● (-2007)<br>◐ (2007-),,● (-2007)<br>◐ (2007-),● (-2007)<br>◐ (2007-),●
Germany,Bündnis Sahra Wagenknecht,Sahra Wagenknecht Alliance,BSW,●,,◐,●,
Germany,Republikaner,Republicans,Republikaner,●,●,,●,
Greece,Elliniki Lisi,Greek Solution,EL,●,●,,●,●
Greece,Kommounistikó Kómma Elládas,Comnunist Party of Greece,KKE,,,●,●,●
Greece,Synaspismós Rizospastikís Aristerás,The Coalition of the Radical Left,SYRIZA,●,,● (-2015),●,●
Greece,"Δημοκρατικό Πατριωτικό Κίνημα ""ΝΙΚΗ""",Democratic Patriotic Movement NIKI,NIKI,●,●,,●,●
Greece,Νέα Αριστερά,New Left,NA,●,,●,●,●
Greece,Πλεύση Ελευθερίας - Ζωή Κωνσταντοπούλου,Course of Freedom-Zoe Konstantopoulou,Course of Freedom,●,,●,◐,●
Greece,Anexartitoi Ellines,Independent Greeks,ANEL,●,●,,●,
Greece,Dimokratiko Koinoniko Kinima,Democratic Social Movement,DIKKI,●,,●,●,
Greece,European Realistic Disobedience Front,European Realistic Disobedience Front,MeRa25,●,,●,●,
Greece,Laiki Enotita-Anypotakti Aristera,Popular Unity- Insubordinate Left,LAE,●,,●,,
Greece,Laikos Syndesmos – Chrysi Avgi,Golden Dawn,GD,◐,●,,●,
Greece,Laïkós Orthódoxos Synagermós,Popular Orthodox Rally,LAOS,●,●,,●,
Greece,Oikologoi Enallaktikoi,Alternative Ecologists,OE,,,◐,,
Greece,Politiki Anixi,Political Spring,POLAN,◐,◐,,,
Greece,Synaspismós tis Aristerás,The Coalition of the Left,SYN,●,,●,● (-2015),
Greece,Σπαρτιάτες,Spartans,Spartans,◐,●,,●,
Hungary,Fidesz,Fidesz,Fidesz,● (2002-),● (2010-),,● (2010-),●
Hungary,Mi Hazánk Mozgalom,Our Homeland Movement,MHM,,●,,●,●
Hungary,Független Kisgazdapárt,Independent Smallholders’ Party,FKgP,●,● (2019-),,,
