party_name,vote_share,election_date,country_name_short,parlgov_id,country_name
Socialistiese Partij,0.0188786595522697,2025-10-29,NLD,357,Netherlands
Partij voor de Vrijheid,0.166569018699412,2025-10-29,NLD,1501,Netherlands
Forum voor Democratie,0.045440167839735,2025-10-29,NLD,2642,Netherlands
Juiste Antwoord21,0.059451153472525,2025-10-29,NLD,2823,Netherlands
BoerBurgerBeweging,0.026477134390025,2025-10-29,NLD,2824,Netherlands
others,0.00668095599787741,2025-10-29,NLD,9920,Netherlands
Sosialistisk Venstreparti,0.0562727647669733,2025-09-08,NOR,81,Norway
Fremskrittspartiet,0.23848748776355,2025-09-08,NOR,351,Norway
Rød Valgallianse,0.0532136521518761,2025-09-08,NOR,1638,Norway
others,0.0346959273117574,2025-09-08,NOR,9921,Norway
Prawo i Sprawiedliwość,0.324231899204348,2023-10-15,POL,528,Poland
Ruch Narodowy,0.00922237762470926,2023-10-15,POL,2398,Poland
Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja KORWiN,0.0373935369216026,2023-10-15,POL,2602,Poland
Kukiz'15,0.00347127128115422,2023-10-15,POL,2600,Poland
Partia Razem,0.0210117520030697,2023-10-15,POL,2625,Poland
others,0.0176017937487201,2023-10-15,POL,9922,Poland
Partido Comunista Português,0.0331817039347611,2024-03-10,PRT,514,Portugal
Bloco de Esquerda,0.0455734078872793,2024-03-10,PRT,557,Portugal
Chega,0.188835504621767,2024-03-10,PRT,2789,Portugal
others,0.0218376682423662,2024-03-10,PRT,9923,Portugal
Bloco de Esquerda,0.0207627224238491,2025-05-18,PRT,557,Portugal
Chega,0.237411749600327,2025-05-18,PRT,2789,Portugal
others,0.0189933822618079,2025-05-18,PRT,9923,Portugal
Alianța pentru Unirea Românilor,0.180139297923838,2024-12-01,ROU,2807,Romania
others,0.0981817662542282,2024-12-01,ROU,9924,Romania
Smer – sociálna demokracia,0.229461207535574,2023-09-30,SVK,220,Slovakia
Komunistická strana Slovenska,0.00332457741106831,2023-09-30,SVK,44,Slovakia
Obyčajní ľudia a nezávislé osobnosti,0.0667485484666579,2023-09-30,SVK,1759,Slovakia
Ľudová strana Naše Slovensko,0.00842448657230577,2023-09-30,SVK,586,Slovakia
Sme Rodina – Boris Kollár,0.0221277969308898,2023-09-30,SVK,2623,Slovakia
Pravá Slovenská národná strana,0.0562671333496861,2023-09-30,SVK,20,Slovakia
Slovenská národná strana,0.0562671333496861,2023-09-30,SVK,1072,Slovakia
others,0.0886847113241165,2023-09-30,SVK,9925,Slovakia
Slovenska nacionalna stranka,0.0224,2026-03-22,SVN,981,Slovenia
Nova Slovenija – Krščanska ljudska stranka,0.0926,2026-03-22,SVN,1047,Slovenia
Slovenska demokratska stranka,0.2788,2026-03-22,SVN,179,Slovenia
Levica,0.0569,2026-03-22,SVN,2670,Slovenia
others,0,2026-03-22,SVN,9926,Slovenia
